posres,multi,clinend,mech,sampsize,budget,impact,time,status
0,0,0,R01,67,2.53601,3.794,23.9835729,1
0,0,0,P01,43,1.581877,0.0,48.98562628,0
0,0,0,R01,163,10.227118,0.0,3.975359343,0
0,0,0,U01,149,1.807713,0.0,9.034907598,0
1,0,0,R01,420,2.948155,0.0,9.987679671,0
1,0,0,U01,141,3.482757,0.0,25.95482546,0
0,0,0,R01,862,1.750767,0.0,29.17453799,0
1,0,0,U01,365,4.903409,0.0,11.00616016,0
0,0,0,R01,392,2.354367,0.0,5.979466119,0
0,0,0,R01,94,2.695184,0.0,6.012320329,0
0,1,0,U01,87,8.17572,30.011,2.464065708,1
0,0,0,R01,120,4.391234,0.0,15.50718686,0
0,0,0,R01,256,3.609222,0.0,7.983572895,0
0,0,0,R01,30,0.906345,8.266,22.50513347,1
0,0,0,R01,501,3.539633,4.84,4.468172485,1
1,0,0,R44,300,0.84868,0.0,22.24229979,0
1,0,0,R01,415,5.702727,53.298,9.429158111,1
1,0,0,R44,308,1.367797,0.0,22.86652977,0
0,0,0,R01,26,0.638626,0.0,4.993839836,0
0,1,0,U01,92,9.422223,30.011,4.303901437,1
1,0,0,U01,390,5.381624,53.298,9.067761807,1
1,0,0,R21,51,0.4125,0.0,22.99794661,0
0,0,0,R21,22,0.390914,0.0,8.180698152,0
1,0,0,R01,18,1.208598,6.606,38.11088296,1
1,0,0,R01,266,2.26775,4.844,41.0349076,1
1,0,0,R01,21,1.576176,14.739,21.51950719,1
1,0,0,R21,120,0.362247,0.0,18.4312115,0
0,0,0,K23,24,0.67217,0.0,28.94455852,0
1,0,1,U54,31,5.649036,38.278,7.983572895,1
0,0,0,R01,132,2.481322,0.0,2.98973306,0
0,0,0,R01,55,1.41009,0.0,4.993839836,0
1,0,0,R21,30,0.407,0.0,19.97535934,0
0,0,0,R01,60,1.591641,0.0,6.012320329,0
1,0,0,RC2,150,4.136888,0.0,30.39014374,0
1,0,0,R44,1800,0.988677,3.299,35.02258727,1
1,0,0,R21,181,0.37509,0.0,4.008213552,0
0,0,0,R01,66,1.15875,0.0,5.979466119,0
0,0,0,P50,100,2.531065,0.0,11.86036961,0
1,0,0,K23,99,0.601928,0.0,13.04312115,0
1,0,0,R01,247,1.3054805,0.0,9.691991786,1
1,0,0,R01,247,1.3054805,0.0,16.45995893,1
0,0,0,R01,4105,2.703653,5.355,65.01848049,1
1,0,0,R44,181,1.117084,0.0,66.98973306,0
0,0,0,K23,104,0.472321,0.0,9.987679671,0
0,0,0,R21,69,0.40471,0.0,21.97946612,0
1,0,0,R01,1699,2.957751,0.0,4.632443532,0
